"PROLIFIC_PID","t_step1_keyresp.rt","t_step2_keyresp.rt","t_step1_keyresp.keys","t_step1_stimLeft_name","t_step1_stimRight_name","t_step2_stim","t_step2_basket","globa_score","t_points","t_mult","t_reward_flag","stimLeft_filename","stimLeft_deact_filename","stimRight_filename","stimRight_deact_filename","forest_filename","basket_filename"
"63469da3cef76cc5b3523b97",0.5539,0.6927,"k","purple_gnome","pink_gnome","bright_forest","yellow_basket",2747,3,1,1,"ressources/step1_stim2.png","ressources/step1_tallGnome_deact.png","ressources/step1_stim3.png","ressources/step1_tallGnome_deact.png","ressources/step2_background1.png","ressources/step2_stim1.png"
"63469da3cef76cc5b3523b97",0.6156,0.3573,"k","orange_gnome","brown_gnome","dark_forest","red_basket",2750,3,1,1,"ressources/step1_stim8.png","ressources/step1_smallGnome_deact.png","ressources/step1_stim1.png","ressources/step1_tallGnome_deact.png","ressources/step2_background2.png","ressources/step2_stim2.png"
"63469da3cef76cc5b3523b97",0.6246,0.2804,"s","brown_gnome","orange_gnome","dark_forest","red_basket",2760,10,5,1,"ressources/step1_stim1.png","ressources/step1_tallGnome_deact.png","ressources/step1_stim8.png","ressources/step1_smallGnome_deact.png","ressources/step2_background2.png","ressources/step2_stim2.png"
"63469da3cef76cc5b3523b97",0.7373,0.4416,"k","yellow_gnome","red_gnome","bright_forest","yellow_basket",2785,25,5,1,"ressources/step1_stim7.png","ressources/step1_smallGnome_deact.png","ressources/step1_stim6.png","ressources/step1_smallGnome_deact.png","ressources/step2_background1.png","ressources/step2_stim1.png"
"63469da3cef76cc5b3523b97",0.7446,0.3781,"s","pink_gnome","purple_gnome","bright_forest","yellow_basket",2805,20,5,1,"ressources/step1_stim3.png","ressources/step1_tallGnome_deact.png","ressources/step1_stim2.png","ressources/step1_tallGnome_deact.png","ressources/step2_background1.png","ressources/step2_stim1.png"
"63469da3cef76cc5b3523b97",0.6295,0.3234,"k","brown_gnome","orange_gnome","bright_forest","yellow_basket",2815,10,5,1,"ressources/step1_stim1.png","ressources/step1_tallGnome_deact.png","ressources/step1_stim8.png","ressources/step1_smallGnome_deact.png","ressources/step2_background1.png","ressources/step2_stim1.png"
"63469da3cef76cc5b3523b97",0.753,0.2671,"s","blue_gnome","green_gnome","bright_forest","yellow_basket",2820,5,5,1,"ressources/step1_stim4.png","ressources/step1_tallGnome_deact.png","ressources/step1_stim5.png","ressources/step1_smallGnome_deact.png","ressources/step2_background1.png","ressources/step2_stim1.png"
"63469da3cef76cc5b3523b97",0.8211,0.6489,"k","brown_gnome","orange_gnome","bright_forest","yellow_basket",2825,5,5,1,"ressources/step1_stim1.png","ressources/step1_tallGnome_deact.png","ressources/step1_stim8.png","ressources/step1_smallGnome_deact.png","ressources/step2_background1.png","ressources/step2_stim1.png"
"63469da3cef76cc5b3523b97",0.7623,0.2969,"s","blue_gnome","green_gnome","bright_forest","yellow_basket",2835,10,5,1,"ressources/step1_stim4.png","ressources/step1_tallGnome_deact.png","ressources/step1_stim5.png","ressources/step1_smallGnome_deact.png","ressources/step2_background1.png","ressources/step2_stim1.png"
"63469da3cef76cc5b3523b97",1.194,0.341,"k","orange_gnome","brown_gnome","dark_forest","red_basket",2836,1,1,1,"ressources/step1_stim8.png","ressources/step1_smallGnome_deact.png","ressources/step1_stim1.png","ressources/step1_tallGnome_deact.png","ressources/step2_background2.png","ressources/step2_stim2.png"
