"PROLIFIC_PID","t_step1_keyresp.rt","t_step2_keyresp.rt","t_step1_keyresp.keys","t_step1_stimLeft_name","t_step1_stimRight_name","t_step2_stim","t_step2_basket","globa_score","t_points","t_mult","t_reward_flag","stimLeft_filename","stimLeft_deact_filename","stimRight_filename","stimRight_deact_filename","forest_filename","basket_filename"
"63ea497523794756c703094c",0.348,0.306,"k","purple_gnome","yellow_gnome","dark_forest","red_basket",1897,5,1,1,"ressources/step1_stim2.png","ressources/step1_tallGnome_deact.png","ressources/step1_stim7.png","ressources/step1_smallGnome_deact.png","ressources/step2_background2.png","ressources/step2_stim2.png"
"63ea497523794756c703094c",0.443,0.373,"s","orange_gnome","red_gnome","dark_forest","red_basket",1927,30,5,1,"ressources/step1_stim8.png","ressources/step1_smallGnome_deact.png","ressources/step1_stim6.png","ressources/step1_smallGnome_deact.png","ressources/step2_background2.png","ressources/step2_stim2.png"
"63ea497523794756c703094c",0.441,0.444,"k","orange_gnome","red_gnome","bright_forest","yellow_basket",1952,25,5,1,"ressources/step1_stim8.png","ressources/step1_smallGnome_deact.png","ressources/step1_stim6.png","ressources/step1_smallGnome_deact.png","ressources/step2_background1.png","ressources/step2_stim1.png"
"63ea497523794756c703094c",0.461,0.422,"s","blue_gnome","pink_gnome","bright_forest","yellow_basket",1982,30,5,1,"ressources/step1_stim4.png","ressources/step1_tallGnome_deact.png","ressources/step1_stim3.png","ressources/step1_tallGnome_deact.png","ressources/step2_background1.png","ressources/step2_stim1.png"
"63ea497523794756c703094c",0.365,0.438,"k","green_gnome","brown_gnome","bright_forest","yellow_basket",2012,30,5,1,"ressources/step1_stim5.png","ressources/step1_smallGnome_deact.png","ressources/step1_stim1.png","ressources/step1_tallGnome_deact.png","ressources/step2_background1.png","ressources/step2_stim1.png"
"63ea497523794756c703094c",0.425,0.328,"s","orange_gnome","red_gnome","dark_forest","red_basket",2015,3,1,1,"ressources/step1_stim8.png","ressources/step1_smallGnome_deact.png","ressources/step1_stim6.png","ressources/step1_smallGnome_deact.png","ressources/step2_background2.png","ressources/step2_stim2.png"
"63ea497523794756c703094c",0.447,0.347,"k","orange_gnome","red_gnome","bright_forest","yellow_basket",2019,4,1,1,"ressources/step1_stim8.png","ressources/step1_smallGnome_deact.png","ressources/step1_stim6.png","ressources/step1_smallGnome_deact.png","ressources/step2_background1.png","ressources/step2_stim1.png"
"63ea497523794756c703094c",0.565,0.313,"s","purple_gnome","yellow_gnome","bright_forest","yellow_basket",2034,15,5,1,"ressources/step1_stim2.png","ressources/step1_tallGnome_deact.png","ressources/step1_stim7.png","ressources/step1_smallGnome_deact.png","ressources/step2_background1.png","ressources/step2_stim1.png"
"63ea497523794756c703094c",0.496,0.305,"k","blue_gnome","pink_gnome","dark_forest","red_basket",2054,20,5,1,"ressources/step1_stim4.png","ressources/step1_tallGnome_deact.png","ressources/step1_stim3.png","ressources/step1_tallGnome_deact.png","ressources/step2_background2.png","ressources/step2_stim2.png"
"63ea497523794756c703094c",0.424,0.339,"s","red_gnome","orange_gnome","bright_forest","yellow_basket",2054,0,1,1,"ressources/step1_stim6.png","ressources/step1_smallGnome_deact.png","ressources/step1_stim8.png","ressources/step1_smallGnome_deact.png","ressources/step2_background1.png","ressources/step2_stim1.png"
"63ea497523794756c703094c",0.563,0.313,"s","orange_gnome","red_gnome","dark_forest","red_basket",2060,6,1,1,"ressources/step1_stim8.png","ressources/step1_smallGnome_deact.png","ressources/step1_stim6.png","ressources/step1_smallGnome_deact.png","ressources/step2_background2.png","ressources/step2_stim2.png"
"63ea497523794756c703094c",0.614,0.24,"s","green_gnome","brown_gnome","dark_forest","red_basket",2085,25,5,1,"ressources/step1_stim5.png","ressources/step1_smallGnome_deact.png","ressources/step1_stim1.png","ressources/step1_tallGnome_deact.png","ressources/step2_background2.png","ressources/step2_stim2.png"
"63ea497523794756c703094c",0.648,0.257,"k","brown_gnome","green_gnome","dark_forest","red_basket",2105,20,5,1,"ressources/step1_stim1.png","ressources/step1_tallGnome_deact.png","ressources/step1_stim5.png","ressources/step1_smallGnome_deact.png","ressources/step2_background2.png","ressources/step2_stim2.png"
"63ea497523794756c703094c",0.376,0.295,"s","brown_gnome","green_gnome","bright_forest","yellow_basket",2105,0,5,1,"ressources/step1_stim1.png","ressources/step1_tallGnome_deact.png","ressources/step1_stim5.png","ressources/step1_smallGnome_deact.png","ressources/step2_background1.png","ressources/step2_stim1.png"
"63ea497523794756c703094c",0.446,0.395,"s","blue_gnome","pink_gnome","bright_forest","yellow_basket",2107,2,1,1,"ressources/step1_stim4.png","ressources/step1_tallGnome_deact.png","ressources/step1_stim3.png","ressources/step1_tallGnome_deact.png","ressources/step2_background1.png","ressources/step2_stim1.png"
"63ea497523794756c703094c",0.465,0.372,"k","yellow_gnome","purple_gnome","bright_forest","yellow_basket",2109,2,1,1,"ressources/step1_stim7.png","ressources/step1_smallGnome_deact.png","ressources/step1_stim2.png","ressources/step1_tallGnome_deact.png","ressources/step2_background1.png","ressources/step2_stim1.png"
"63ea497523794756c703094c",0.45,0.388,"k","brown_gnome","green_gnome","dark_forest","red_basket",2115,6,1,1,"ressources/step1_stim1.png","ressources/step1_tallGnome_deact.png","ressources/step1_stim5.png","ressources/step1_smallGnome_deact.png","ressources/step2_background2.png","ressources/step2_stim2.png"
"63ea497523794756c703094c",0.365,0.391,"k","brown_gnome","green_gnome","dark_forest","red_basket",2150,35,5,1,"ressources/step1_stim1.png","ressources/step1_tallGnome_deact.png","ressources/step1_stim5.png","ressources/step1_smallGnome_deact.png","ressources/step2_background2.png","ressources/step2_stim2.png"
"63ea497523794756c703094c",0.476,0.375,"k","blue_gnome","pink_gnome","dark_forest","red_basket",2190,40,5,1,"ressources/step1_stim4.png","ressources/step1_tallGnome_deact.png","ressources/step1_stim3.png","ressources/step1_tallGnome_deact.png","ressources/step2_background2.png","ressources/step2_stim2.png"
"63ea497523794756c703094c",0.565,0.342,"s","orange_gnome","red_gnome","dark_forest","red_basket",2196,6,1,1,"ressources/step1_stim8.png","ressources/step1_smallGnome_deact.png","ressources/step1_stim6.png","ressources/step1_smallGnome_deact.png","ressources/step2_background2.png","ressources/step2_stim2.png"
