"PROLIFIC_PID","t_step1_keyresp.rt","t_step2_keyresp.rt","t_step1_keyresp.keys","t_step1_stimLeft_name","t_step1_stimRight_name","t_step2_stim","t_step2_basket","globa_score","t_points","t_mult","t_reward_flag","stimLeft_filename","stimLeft_deact_filename","stimRight_filename","stimRight_deact_filename","forest_filename","basket_filename"
"671f56c6e0a21dd2688719a6",0.5054,0.4953,"s","orange_gnome","yellow_gnome","bright_forest","red_basket",2661,10,5,1,"ressources/step1_stim8.png","ressources/step1_smallGnome_deact.png","ressources/step1_stim7.png","ressources/step1_smallGnome_deact.png","ressources/step2_background1.png","ressources/step2_stim2.png"
"671f56c6e0a21dd2688719a6",0.6124,0.3849,"k","yellow_gnome","orange_gnome","bright_forest","red_basket",2666,5,5,1,"ressources/step1_stim7.png","ressources/step1_smallGnome_deact.png","ressources/step1_stim8.png","ressources/step1_smallGnome_deact.png","ressources/step2_background1.png","ressources/step2_stim2.png"
"671f56c6e0a21dd2688719a6",0.6244,0.6395,"k","yellow_gnome","orange_gnome","bright_forest","red_basket",2671,5,5,1,"ressources/step1_stim7.png","ressources/step1_smallGnome_deact.png","ressources/step1_stim8.png","ressources/step1_smallGnome_deact.png","ressources/step2_background1.png","ressources/step2_stim2.png"
"671f56c6e0a21dd2688719a6",0.6415,0.2583,"k","purple_gnome","green_gnome","dark_forest","yellow_basket",2691,20,5,1,"ressources/step1_stim2.png","ressources/step1_tallGnome_deact.png","ressources/step1_stim5.png","ressources/step1_smallGnome_deact.png","ressources/step2_background2.png","ressources/step2_stim1.png"
"671f56c6e0a21dd2688719a6",0.405,0.5068,"k","purple_gnome","green_gnome","dark_forest","yellow_basket",2716,25,5,1,"ressources/step1_stim2.png","ressources/step1_tallGnome_deact.png","ressources/step1_stim5.png","ressources/step1_smallGnome_deact.png","ressources/step2_background2.png","ressources/step2_stim1.png"
"671f56c6e0a21dd2688719a6",0.729,0.3439,"k","blue_gnome","red_gnome","bright_forest","red_basket",2736,20,5,1,"ressources/step1_stim4.png","ressources/step1_tallGnome_deact.png","ressources/step1_stim6.png","ressources/step1_smallGnome_deact.png","ressources/step2_background1.png","ressources/step2_stim2.png"
"671f56c6e0a21dd2688719a6",1.0726,0.2713,"k","green_gnome","purple_gnome","bright_forest","red_basket",2741,5,5,1,"ressources/step1_stim5.png","ressources/step1_smallGnome_deact.png","ressources/step1_stim2.png","ressources/step1_tallGnome_deact.png","ressources/step2_background1.png","ressources/step2_stim2.png"
"671f56c6e0a21dd2688719a6",0.893,0.1728,"k","red_gnome","blue_gnome","dark_forest","yellow_basket",2746,5,1,1,"ressources/step1_stim6.png","ressources/step1_smallGnome_deact.png","ressources/step1_stim4.png","ressources/step1_tallGnome_deact.png","ressources/step2_background2.png","ressources/step2_stim1.png"
"671f56c6e0a21dd2688719a6",0.6386,0.4965,"s","orange_gnome","yellow_gnome","bright_forest","red_basket",2766,20,5,1,"ressources/step1_stim8.png","ressources/step1_smallGnome_deact.png","ressources/step1_stim7.png","ressources/step1_smallGnome_deact.png","ressources/step2_background1.png","ressources/step2_stim2.png"
"671f56c6e0a21dd2688719a6",0.8422,0.2532,"s","brown_gnome","pink_gnome","dark_forest","yellow_basket",2772,6,1,1,"ressources/step1_stim1.png","ressources/step1_tallGnome_deact.png","ressources/step1_stim3.png","ressources/step1_tallGnome_deact.png","ressources/step2_background2.png","ressources/step2_stim1.png"
