Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
65a931ca3d7a4161573dd2ab,5dde2ba745fb05d83d91d8ad,APPROVED,2024-01-18T14:12:30.625000Z,2024-01-18T14:45:59.656000Z,2024-01-18T16:27:25.131000Z,2024-01-18T14:46:00.227211Z,2010.0,CDH5AM11,403,English,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65a931da8ecae7c2d1fe3abb,65a3c31a29f1fc585996911f,APPROVED,2024-01-18T14:12:50.281000Z,2024-01-18T14:53:24.343000Z,2024-01-18T16:27:25.440000Z,2024-01-18T14:53:24.814463Z,2435.0,CDH5AM11,2,English,69,Male,Black,Nigeria,United States,Nigeria,English,No,Part-Time,
65a93214f41753de19544b73,63d006dc15bb7a9753aa56ab,APPROVED,2024-01-18T14:13:46.149000Z,2024-01-18T14:47:20.223000Z,2024-01-18T16:27:25.640000Z,2024-01-18T14:47:20.768576Z,2015.0,CDH5AM11,141,English,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65a93274932bcb966c2316f7,60c9abe32799d8a970e92799,APPROVED,2024-01-18T14:15:22.180000Z,2024-01-18T14:40:35.451000Z,2024-01-18T16:27:25.840000Z,2024-01-18T14:40:36.024968Z,1514.0,CDH5AM11,408,"English, French",39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65a9328645e701b01aeec40f,63e527f52b035555467c68b4,APPROVED,2024-01-18T14:15:38.245000Z,2024-01-18T14:43:27.968000Z,2024-01-18T16:27:26.036000Z,2024-01-18T14:43:28.425479Z,1670.0,CDH5AM11,146,English,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
65a932aec5eefde6c1647a17,5cb0d94aff629100171b05b1,APPROVED,2024-01-18T14:16:18.329000Z,2024-01-18T14:42:52.025000Z,2024-01-18T16:27:26.233000Z,2024-01-18T14:42:52.741987Z,1594.0,NOCODE,827,English,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking),
65a932d8f78666b2020db662,5cffb12df6c3fb00157b2f39,APPROVED,2024-01-18T14:17:04.715000Z,2024-01-18T14:56:39.317000Z,2024-01-18T16:27:26.426000Z,2024-01-18T14:56:39.768123Z,2375.0,C16EH9UF,2322,English,69,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
65a932e6c27bbccd2375ca30,592220f8fc043000016c5aeb,APPROVED,2024-01-18T14:17:10.611000Z,2024-01-18T14:48:30.701000Z,2024-01-18T16:27:26.624000Z,2024-01-18T14:48:31.691343Z,1881.0,CDH5AM11,1398,English,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65a932ec199cde2645be2e4f,5efcb50255a06b097b8d5d29,APPROVED,2024-01-18T14:17:54.386000Z,2024-01-18T15:01:35.928000Z,2024-01-18T16:27:26.823000Z,2024-01-18T15:01:36.454331Z,2622.0,CDH5AM11,1390,English,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
65a9334c59bc6ca1bbab2542,63e51d8fd8a1a336d19fa191,APPROVED,2024-01-18T14:21:39.555000Z,2024-01-18T14:54:09.724000Z,2024-01-18T16:27:27.027000Z,2024-01-18T14:54:10.349760Z,1951.0,CDH5AM11,546,English,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
