Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65c4e46bc384193cb0df6f0b,5fe2276cdfad15d6b6d28c73,APPROVED,Not Applicable,2024-02-08T14:25:51.748000Z,2024-02-08T14:54:25.384000Z,2024-02-09T11:19:55.618000Z,2024-02-08T14:54:25.970356Z,1714.0,CDH5AM11,568,English,64,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65c4e4ab97de8f0b13591d7d,60df5e55e8cd8cf982579eb8,APPROVED,Not Applicable,2024-02-08T14:27:21.476000Z,2024-02-08T14:56:45.979000Z,2024-02-09T11:19:55.931000Z,2024-02-08T14:56:46.678575Z,1765.0,NOCODE,446,English,22,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
65c4e5628631fccb128b2050,5f7a4d05a8da636ab1802596,APPROVED,Not Applicable,2024-02-08T14:29:54.715000Z,2024-02-08T15:03:33.796000Z,2024-02-09T11:19:56.120000Z,2024-02-08T15:03:34.399907Z,2020.0,CDH5AM11,1462,English,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4e5bff37135eeabfdeb79,5f2de4218462fd12f8aee07e,APPROVED,Not Applicable,2024-02-08T14:32:56.097000Z,2024-02-08T15:01:58.840000Z,2024-02-09T11:19:56.304000Z,2024-02-08T15:01:59.408688Z,1743.0,CDH5AM11,663,English,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65c4e5c543fff1b7d2536685,5904f7725dec66000110af5b,APPROVED,Not Applicable,2024-02-08T14:31:37.625000Z,2024-02-08T15:02:31.719000Z,2024-02-09T11:19:56.498000Z,2024-02-08T15:02:32.222452Z,1855.0,CDH5AM11,989,English,57,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4e5c692ccff8f8b412196,5eced49f680aa62e1e265eee,APPROVED,Not Applicable,2024-02-08T14:31:37.398000Z,2024-02-08T14:56:19.022000Z,2024-02-09T11:19:56.685000Z,2024-02-08T14:56:19.616172Z,1482.0,CDH5AM11,1255,English,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4e65e8aac6f1e022b82e5,5e6e876b9cf1954477c33ee6,APPROVED,Not Applicable,2024-02-08T14:36:23.627000Z,2024-02-08T15:08:05.635000Z,2024-02-09T11:19:56.882000Z,2024-02-08T15:08:06.087558Z,1903.0,CDH5AM11,270,English,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65c4e6a03b9cc9d89948c6f9,58413489d0f9ec000178a3ae,APPROVED,Not Applicable,2024-02-08T14:35:17.968000Z,2024-02-08T15:01:15.564000Z,2024-02-09T11:19:57.074000Z,2024-02-08T15:01:16.071296Z,1558.0,CDH5AM11,876,English,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4e6c57d07e656ad4121e6,5a9c1988f6dfdd0001ea9933,APPROVED,Not Applicable,2024-02-08T14:35:53.054000Z,2024-02-08T15:04:25.861000Z,2024-02-09T11:19:57.270000Z,2024-02-08T15:04:26.344537Z,1713.0,CDH5AM11,1173,"German, English",46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4e6f4f551826588563de0,63d036b92ad9bb58613f6e03,APPROVED,Not Applicable,2024-02-08T14:36:39.678000Z,2024-02-08T15:12:53.259000Z,2024-02-09T11:19:57.459000Z,2024-02-08T15:15:11.091898Z,2174.0,NOCODE,306,English,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65c4e6fe4e491c39759b6373,640b0dacfd4e5409173a562b,APPROVED,Not Applicable,2024-02-08T14:39:06.134000Z,2024-02-08T15:22:48.783000Z,2024-02-09T11:19:57.667000Z,2024-02-08T15:22:49.291529Z,2623.0,CDH5AM11,555,"French, English, Spanish",32,Male,DATA_EXPIRED,DATA_EXPIRED,United Kingdom,DATA_EXPIRED,English,DATA_EXPIRED,DATA_EXPIRED
65c4e70b3b9cc9d89948c729,5a764e848fe2dc000105739c,APPROVED,Not Applicable,2024-02-08T14:37:04.835000Z,2024-02-08T15:14:28.716000Z,2024-02-09T11:19:58.284000Z,2024-02-08T15:15:16.825808Z,2244.0,CDH5AM11,1788,English,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65c4e73fd25410e85d30f207,5dcdeac32357c40a03f4b0b5,APPROVED,Not Applicable,2024-02-08T14:37:56.792000Z,2024-02-08T15:11:02.229000Z,2024-02-09T11:19:58.469000Z,2024-02-08T15:14:51.135341Z,1986.0,CDH5AM11,288,English,48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
65c4e791963a750c5bb32870,611218c29a454f84484df681,APPROVED,Not Applicable,2024-02-08T14:39:21.977000Z,2024-02-08T15:06:48.975000Z,2024-02-09T11:19:58.667000Z,2024-02-08T15:06:49.576246Z,1647.0,NOCODE,889,English,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4e7e70bf085a5b6089009,5f9ef609d0edb74d9aa4d2e1,APPROVED,Not Applicable,2024-02-08T14:40:54.202000Z,2024-02-08T15:21:08.410000Z,2024-02-09T11:19:58.859000Z,2024-02-08T15:21:09.116321Z,2415.0,CDH5AM11,939,English,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65c4e7f24e491c39759b642f,5ec6a45158d2950b070d1a1d,APPROVED,Not Applicable,2024-02-08T14:40:53.588000Z,2024-02-08T15:11:44.324000Z,2024-02-09T11:19:59.059000Z,2024-02-08T15:14:56.817221Z,1851.0,CDH5am11,42,English,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
65c4e7fdbf4a8aebd5047ebf,62e96ef588980690769f0b1f,APPROVED,Not Applicable,2024-02-08T14:41:04.417000Z,2024-02-08T15:11:15.943000Z,2024-02-09T11:19:59.251000Z,2024-02-08T15:14:52.053107Z,1812.0,CDH5AM11,340,English,31,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65c4e803ee01aab3bee84ef8,5de21543762dc22548c937b3,APPROVED,Not Applicable,2024-02-08T14:41:07.889000Z,2024-02-08T15:17:29.182000Z,2024-02-09T11:19:59.451000Z,2024-02-08T15:17:30.072764Z,2182.0,CDH5AM11,1049,"English, Bengali",40,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65c4e80fb46c4a010ef04780,6118c4ac97553df24b86ad9d,APPROVED,Not Applicable,2024-02-08T14:47:22.646000Z,2024-02-08T15:16:28.129000Z,2024-02-09T11:19:59.648000Z,2024-02-08T15:16:35.812738Z,1746.0,CDH5AM11,1064,"Spanish, English",38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65c4e8100ceeec081a93436b,62fbe0847bebdb10fff2494c,APPROVED,Not Applicable,2024-02-08T14:42:57.536000Z,2024-02-08T15:22:43.591000Z,2024-02-09T11:19:59.844000Z,2024-02-08T15:22:44.288686Z,2387.0,CDH5AM11,433,English,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65c4e858f1c7bce0bd93443f,5ea02bab250e2f03bb1ceb71,APPROVED,Not Applicable,2024-02-08T14:42:45.541000Z,2024-02-08T15:20:26.584000Z,2024-02-09T11:20:00.040000Z,2024-02-08T15:20:27.239017Z,2262.0,CDH5AM11,531,English,83,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65c4e85a5201490030bbf366,6294b55e642b7f8a1bda0b19,APPROVED,Not Applicable,2024-02-08T14:42:56.031000Z,2024-02-08T15:24:42.134000Z,2024-02-09T11:20:00.241000Z,2024-02-08T15:24:42.604041Z,2507.0,CDH5AM11,327,English,37,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65c4e89ddb8a565c3bc2697b,5bb62f1a3e969700019bd44d,APPROVED,Not Applicable,2024-02-08T14:43:53.539000Z,2024-02-08T15:23:12.143000Z,2024-02-09T11:20:00.444000Z,2024-02-08T15:23:13.017008Z,2359.0,NOCODE,2168,English,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
65c4e8ae7a95c38ff90695a8,5f46c8088b2fcb08987eaf32,APPROVED,Not Applicable,2024-02-08T14:43:58.396000Z,2024-02-08T15:07:07.189000Z,2024-02-09T11:20:00.641000Z,2024-02-08T15:07:07.761298Z,1389.0,CDH5AM11,831,English,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65c4e8b82f0cf4abf4885ae1,5c67e30581ea8900018ae0d0,APPROVED,Not Applicable,2024-02-08T14:44:24.534000Z,2024-02-08T15:10:00.235000Z,2024-02-09T11:20:00.826000Z,2024-02-08T15:10:00.709180Z,1536.0,CDH5AM11,1157,English,60,Male,White,Canada,United Kingdom,Canada,English,No,Other
65c4e8c6b46c4a010ef047bf,5b9b8570805e5d0001c61ad3,APPROVED,Not Applicable,2024-02-08T14:44:32.687000Z,2024-02-08T15:15:36.729000Z,2024-02-09T11:20:01.007000Z,2024-02-08T15:15:41.713362Z,1865.0,CDH5AM11,481,English,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65c4e8cf11c804e30282038f,5b1faa1354eabf00013e67ec,APPROVED,Not Applicable,2024-02-08T14:50:03.919000Z,2024-02-08T15:15:24.280000Z,2024-02-09T11:20:01.193000Z,2024-02-08T15:15:38.918375Z,1521.0,CDH5AM11,1195,English,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4e901a32428f69d6ab970,651aca89836317708d53cebd,APPROVED,Not Applicable,2024-02-08T14:45:26.085000Z,2024-02-08T15:25:04.862000Z,2024-02-09T11:20:01.410000Z,2024-02-08T15:25:05.794684Z,2379.0,CDH5AM11,22,English,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65c4e9095500ab66e682f71d,599cfb00b5566b0001aa8b56,APPROVED,Not Applicable,2024-02-08T14:45:34.602000Z,2024-02-08T15:20:03.430000Z,2024-02-09T11:20:01.605000Z,2024-02-08T15:20:04.036425Z,2069.0,CDH5AM11,1821,English,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4e916d25410e85d30f29e,62aa33eec600b41d4dc4b4e8,APPROVED,Not Applicable,2024-02-08T14:46:03.847000Z,2024-02-08T15:10:27.358000Z,2024-02-09T11:20:01.827000Z,2024-02-08T15:10:27.811346Z,1464.0,CDH5AM11,847,English,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65c4e928b612446080499340,5ea0b2cbf710490ac2644b7e,APPROVED,Not Applicable,2024-02-08T14:47:06.695000Z,2024-02-08T15:16:37.013000Z,2024-02-09T11:20:02.018000Z,2024-02-08T15:16:52.532206Z,1771.0,CDH5AM11,1581,English,69,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65c4e92998b851296ff0ad69,5ca9f8926025570001c872f3,APPROVED,Not Applicable,2024-02-08T14:46:23.509000Z,2024-02-08T15:14:52.845000Z,2024-02-09T11:20:02.205000Z,2024-02-08T15:15:27.860944Z,1710.0,CDH5AM11,2467,English,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65c4e92c16ef229b95069278,63653f2df84868131e8d986f,APPROVED,Not Applicable,2024-02-08T14:47:51.342000Z,2024-02-08T15:13:19.942000Z,2024-02-09T11:20:02.391000Z,2024-02-08T15:15:13.621888Z,1529.0,CDH5AM11,460,English,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4e92e68db58f4163ded11,645a0942d384b277754101c6,APPROVED,Not Applicable,2024-02-08T14:46:06.294000Z,2024-02-08T15:29:04.048000Z,2024-02-09T11:20:02.589000Z,2024-02-08T15:29:04.517000Z,2578.0,CDH5AM11,572,English,56,Male,Black,Nigeria,United States,Nigeria,English,DATA_EXPIRED,DATA_EXPIRED
65c4e93cdb8a565c3bc269c9,5ddb3f65bca2e4a9cc5b9afc,APPROVED,Not Applicable,2024-02-08T14:46:39.812000Z,2024-02-08T15:17:33.712000Z,2024-02-09T11:20:02.796000Z,2024-02-08T15:17:34.257974Z,1854.0,CDH5AM11,232,English,26,Male,White,United States,United States,United States,English,No,Full-Time
65c4e93e18bb2f75e39e2171,5dded98ea4aa26f899702668,APPROVED,Not Applicable,2024-02-08T14:50:07.585000Z,2024-02-08T15:17:38.967000Z,2024-02-09T11:20:03.003000Z,2024-02-08T15:17:40.100076Z,1652.0,NOCODE,1440,"English, French",33,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4e944f24f92f85d2db7f6,63ce64468e117249c0da1922,APPROVED,Not Applicable,2024-02-08T14:49:35.669000Z,2024-02-08T15:28:10.399000Z,2024-02-09T11:20:03.212000Z,2024-02-08T15:28:10.938267Z,2315.0,CDH5AM11,260,"English, Hindi, Other",51,Male,Asian,DATA_EXPIRED,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65c4e94a891e1cd777945008,5ee55d2d0eccfc2a733ad0db,APPROVED,Not Applicable,2024-02-08T14:46:34.885000Z,2024-02-08T15:12:06.587000Z,2024-02-09T11:20:03.410000Z,2024-02-08T15:14:57.764446Z,1532.0,CDH5AM11,1730,English,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4e95aae223cc244923f56,5b74411d95d7040001fed474,APPROVED,Not Applicable,2024-02-08T14:46:50.373000Z,2024-02-08T15:32:59.371000Z,2024-02-09T11:20:03.606000Z,2024-02-08T15:32:59.882892Z,2769.0,NOCODE,1239,English,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65c4e96868aea17d2df0adc1,644570d57bfa2bc1597e4982,APPROVED,Not Applicable,2024-02-08T14:47:13.535000Z,2024-02-08T15:20:25.580000Z,2024-02-09T11:20:03.807000Z,2024-02-08T15:20:26.166099Z,1993.0,CDH5AM11,359,English,61,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4e972f5f2ccd92c047ecf,611bcaccd3e681f51ad322a1,APPROVED,Not Applicable,2024-02-08T14:47:17.811000Z,2024-02-08T15:14:52.058000Z,2024-02-09T11:20:04.004000Z,2024-02-08T15:15:21.575839Z,1655.0,CDH5AM11,293,English,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4e973fbedc69b8373dfd9,658d953b59f8325cd49411fd,APPROVED,Not Applicable,2024-02-08T14:48:14.143000Z,2024-02-08T15:26:06.655000Z,2024-02-09T11:20:04.199000Z,2024-02-08T15:26:07.221011Z,2273.0,CDH5AM11,61,English,32,Male,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Full-Time
65c4e98cee01aab3bee84f60,6318c62169ccd8cb89fb61fb,APPROVED,Not Applicable,2024-02-08T14:47:47.382000Z,2024-02-08T15:13:30.048000Z,2024-02-09T11:20:04.391000Z,2024-02-08T15:15:13.972524Z,1543.0,CDH5AM11,310,"Italian, English",32,Male,White,Italy,United Kingdom,Italy,Italian,No,Full-Time
65c4e9aab98ac70981c5915a,5ed42960727ce23e4d2802b6,APPROVED,Not Applicable,2024-02-08T14:48:10.381000Z,2024-02-08T15:16:02.280000Z,2024-02-09T11:20:04.694000Z,2024-02-08T15:16:29.098123Z,1672.0,CDH5AM11,1633,English,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4e9ac9dd181f91bafd23c,63d79cb221c143d2c8fdc3f6,APPROVED,Not Applicable,2024-02-08T14:48:20.199000Z,2024-02-08T15:14:54.540000Z,2024-02-09T11:20:04.900000Z,2024-02-08T15:15:29.209835Z,1595.0,CDH5AM11,562,English,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4e9b7b400311e493715b7,6131f6711c0d96f6f1fb04af,APPROVED,Not Applicable,2024-02-08T14:48:23.872000Z,2024-02-08T15:29:23.157000Z,2024-02-09T11:20:05.097000Z,2024-02-08T15:29:24.044448Z,2460.0,CDH5AM11,973,"Danish, English, Italian, Spanish, French",34,Male,White,Romania,United Kingdom,DATA_EXPIRED,Romanian,DATA_EXPIRED,DATA_EXPIRED
65c4e9c4f99f6a1cfd820372,600735b261ca5f1be7555630,APPROVED,Not Applicable,2024-02-08T14:55:15.891000Z,2024-02-08T15:39:26.208000Z,2024-02-09T11:20:05.517000Z,2024-02-08T15:39:26.669175Z,2651.0,CDH5AM11,551,"English, Italian",31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65c4e9c4932e249f259688a6,5b2ba56c425ac7000157fd53,APPROVED,Not Applicable,2024-02-08T14:55:20.975000Z,2024-02-08T15:37:17.625000Z,2024-02-09T11:20:05.315000Z,2024-02-08T15:37:18.130996Z,2517.0,CDH5AM11,98,English,69,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65c4e9d6c9284a844837155a,5d6fd7cf855c8c0018fbaa30,APPROVED,Not Applicable,2024-02-08T14:48:54.434000Z,2024-02-08T15:20:26.162000Z,2024-02-09T11:20:05.720000Z,2024-02-08T15:20:26.836986Z,1892.0,CDH5AM11,1662,English,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
65c4e9e5ee52e7c07a885b56,5bc35acbe5fc0200012ab7c1,APPROVED,Not Applicable,2024-02-08T14:49:13.438000Z,2024-02-08T15:17:10.282000Z,2024-02-09T11:20:05.912000Z,2024-02-08T15:17:10.796502Z,1677.0,CDH5AM11,399,English,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65c4e9e9958d627887b57fbb,5b14898a30d562000155f1e9,APPROVED,Not Applicable,2024-02-08T14:49:13.652000Z,2024-02-08T15:39:53.564000Z,2024-02-09T11:20:06.112000Z,2024-02-08T15:39:54.097773Z,3040.0,CDH5AM11,431,English,24,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4e9f6e4dbb5fb6ed92ac0,5f6f2da91b5cc64887afd65d,APPROVED,Not Applicable,2024-02-08T14:50:14.637000Z,2024-02-08T15:21:20.606000Z,2024-02-09T11:20:06.310000Z,2024-02-08T15:21:23.609823Z,1866.0,CDH5AM11,123,English,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65c4ea1c75e1c9f5133776e3,5dbafd726775fe0f7de4e5f9,APPROVED,Not Applicable,2024-02-08T14:50:06.538000Z,2024-02-08T15:21:27.604000Z,2024-02-09T11:20:06.502000Z,2024-02-08T15:21:28.235691Z,1882.0,CDH5AM11,779,English,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65c4ea1eb6124460804993a4,5f53be789fbb966fe0d97f07,APPROVED,Not Applicable,2024-02-08T14:50:31.248000Z,2024-02-08T15:15:34.041000Z,2024-02-09T11:20:06.688000Z,2024-02-08T15:15:40.667175Z,1503.0,CDH5AM11,521,"Arabic, English",31,Male,Other,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65c4ea2d02a123c2342db7f2,5b70252c99982e000145ccf7,APPROVED,Not Applicable,2024-02-08T14:50:27.294000Z,2024-02-08T15:39:53.352000Z,2024-02-09T11:20:06.877000Z,2024-02-08T15:39:54.644353Z,2967.0,CDH5AM11,804,English,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4ea3871dcd2b32f64ab1d,5f1419bee764c61e136008ed,APPROVED,Not Applicable,2024-02-08T14:50:44.509000Z,2024-02-08T15:21:06.012000Z,2024-02-09T11:20:07.057000Z,2024-02-08T15:21:06.807124Z,1822.0,Don't remember the code.,960,English,22,Male,Black,Nigeria,United Kingdom,United Kingdom,English,Yes,Due to start a new job within the next month
65c4ea452296cbf5596c7cb3,59b7cbab110131000146620b,APPROVED,Not Applicable,2024-02-08T14:50:45.434000Z,2024-02-08T14:55:39.199000Z,2024-02-09T11:20:07.435000Z,2024-02-08T14:55:39.880257Z,294.0,C16EH9UF,1908,"English, Turkish, Kurdish",66,Male,White,Turkey,United Kingdom,United Kingdom,Kurdish,No,Part-Time
65c4f39f98b851296ff0b0dc,5ef7783026861249d8eb58ef,APPROVED,Not Applicable,2024-02-08T15:30:42.250000Z,2024-02-08T15:59:12.749000Z,2024-02-09T11:20:07.631000Z,2024-02-08T15:59:13.216817Z,1711.0,CDH5AM11,1928,English,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4fe1909fead67e7d18583,5e5521580ee1b951df544c3c,APPROVED,Not Applicable,2024-02-08T16:15:24.261000Z,2024-02-08T16:45:28.252000Z,2024-02-09T11:20:07.816000Z,2024-02-08T16:45:29.895704Z,1804.0,CDH5AM11,2209,English,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65c4fe7cd278692062c44e73,5c4f5967aac8be0001716a65,APPROVED,Not Applicable,2024-02-08T16:17:04.522000Z,2024-02-08T16:42:10.419000Z,2024-02-09T11:20:08.007000Z,2024-02-08T16:42:10.947976Z,1506.0,CDH5AM11,2371,English,32,Male,White,Ireland,United Kingdom,Ireland,English,No,Full-Time
65c4e445591fb431f3b75317,56d1f7f67bbc32000589a588,APPROVED,Not Applicable,2024-02-08T14:25:09.517000Z,2024-02-08T14:53:33.169000Z,2024-02-09T11:19:40.953000Z,2024-02-08T14:53:33.788957Z,1704.0,NOCODE,649,"English, Urdu, Hindi",20,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
65c4e4a3093817ce170118fb,5cadd06b89f522001773575e,APPROVED,Not Applicable,2024-02-08T14:26:43.523000Z,2024-02-08T14:58:32.197000Z,2024-02-09T11:19:41.355000Z,2024-02-08T14:58:32.659800Z,1909.0,CDH5AM11,371,English,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65c4e4b371048438f5e45c58,5ab89a4de10996000169faf6,APPROVED,Not Applicable,2024-02-08T14:28:12.924000Z,2024-02-08T15:08:10.285000Z,2024-02-09T11:19:41.588000Z,2024-02-08T15:08:10.811393Z,2398.0,CHD5AM11,219,English,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4e4c47d7c907fa436b292,5c1a59395b2ab700015af793,APPROVED,Not Applicable,2024-02-08T14:27:20.864000Z,2024-02-08T14:54:25.565000Z,2024-02-09T11:19:41.819000Z,2024-02-08T14:54:26.304063Z,1625.0,CDH5AM11,320,English,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
