Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65d7a5ac84b61725dc7d9bb6,60f7588f01034ba56ee4ceae,APPROVED,Not Applicable,2024-02-22T19:51:11.570000Z,2024-02-22T20:20:35.605000Z,2024-02-23T13:28:27.292000Z,2024-02-22T20:48:14.323776Z,1765.0,CDH5AM11,5,English,24,Male,Asian,Philippines,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65d7a5f8a3345f5297e63e46,62ceeffea6d9872b4adeee6f,APPROVED,Not Applicable,2024-02-22T19:52:30.969000Z,2024-02-22T20:17:14.933000Z,2024-02-23T13:28:27.569000Z,2024-02-22T20:45:16.181559Z,1484.0,CDH5AM11,580,"English, Polish",23,Male,White,Poland,United Kingdom,Poland,Polish,No,Full-Time
65d7a60b5f91437143e0e6a3,5d48ad5ada9cb60001aa59d9,APPROVED,Not Applicable,2024-02-22T19:52:49.234000Z,2024-02-22T20:29:23.807000Z,2024-02-23T13:28:27.825000Z,2024-02-22T20:55:39.317132Z,2195.0,CDH5AM11,741,"English, Italian",34,Male,Other,Italy,United Kingdom,Italy,Italian,No,Full-Time
65d7a6142f581737b50e07fd,6079d2f8bb0cb4b7ae002b25,APPROVED,Not Applicable,2024-02-22T19:52:56.742000Z,2024-02-22T20:22:16.642000Z,2024-02-23T13:28:28.059000Z,2024-02-22T20:49:34.931156Z,1760.0,CDH5AM11,557,"English, Portuguese, Spanish",30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65d7a6614b32066795f79174,5f40205989c7a912f71e7ee9,APPROVED,Not Applicable,2024-02-22T20:03:24.464000Z,2024-02-22T20:31:08.719000Z,2024-02-23T13:28:28.288000Z,2024-02-22T20:57:11.855242Z,1665.0,CDH5AM11,621,English,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65d7a68ef5313771b646f418,5c12d53683c3cb0001172e89,APPROVED,Not Applicable,2024-02-22T19:55:01.980000Z,2024-02-22T20:28:28.193000Z,2024-02-23T13:28:28.519000Z,2024-02-22T20:54:53.594741Z,2007.0,CDH5AM11,636,English,67,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65d7a69bc2e3eaacc37c35b3,65d713232ed0dd82d99f1f7a,APPROVED,Not Applicable,2024-02-22T19:55:20.415000Z,2024-02-22T20:28:34.787000Z,2024-02-23T13:28:28.729000Z,2024-02-22T20:55:03.320935Z,1995.0,CDH5AM11,0,English,27,Male,Black,Nigeria,United States,United States,English,Yes,Full-Time
65d7a71688a7cb9ccb1a92ad,5fa0270a0f22bc03bd0380ee,APPROVED,Not Applicable,2024-02-22T20:05:36.636000Z,2024-02-22T20:33:12.675000Z,2024-02-23T13:28:28.952000Z,2024-02-22T20:58:57.782601Z,1657.0,CDH5AM11,877,"English, French",25,Male,White,United States,United States,United States,English,Yes,Due to start a new job within the next month
65d7a792a628bff5598dd7e6,65d20dc2c365b86d27d1a3b7,APPROVED,Not Applicable,2024-02-22T19:59:24.965000Z,2024-02-22T20:26:02.476000Z,2024-02-23T13:28:29.152000Z,2024-02-22T20:52:48.078615Z,1598.0,CDH5AM11,2,English,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65d7a7a3a3345f5297e63edb,611698d90c2a63481dd6bb34,APPROVED,Not Applicable,2024-02-22T19:59:36.834000Z,2024-02-22T20:32:18.715000Z,2024-02-23T13:28:29.372000Z,2024-02-22T20:58:11.163040Z,1962.0,CDH5AM11,653,English,35,Male,DATA_EXPIRED,DATA_EXPIRED,United Kingdom,DATA_EXPIRED,English,DATA_EXPIRED,DATA_EXPIRED
